QUIZ Name,YYYY-MM-DD,Brief Description of Quiz
QUIZ Name,CATEGORY 1 Name,QUESTION 1 Text,ANSWER 1 Text,1,No FEEDBACK Text
QUIZ Name,CATEGORY 1 Name,QUESTION 1 Text,ANSWER 2 Text,0.5,ANSWER 2 FEEDBACK Text
QUIZ Name,CATEGORY 1 Name,QUESTION 1 Text,ANSWER 3 Text,0,ANSWER 3 FEEDBACK Text
QUIZ Name,CATEGORY 1 Name,QUESTION 2 Text,ANSWER 1 Text,1,No FEEDBACK Text
QUIZ Name,CATEGORY 1 Name,QUESTION 2 Text,ANSWER 2 Text,0.5,ANSWER 2 FEEDBACK Text
QUIZ Name,CATEGORY 1 Name,QUESTION 2 Text,ANSWER 3 Text,0,ANSWER 3 FEEDBACK Text
QUIZ Name,CATEGORY 1 Name,QUESTION 3 Text,ANSWER 1 Text,1,No FEEDBACK Text
QUIZ Name,CATEGORY 1 Name,QUESTION 3 Text,ANSWER 2 Text,0.5,ANSWER 2 FEEDBACK Text
QUIZ Name,CATEGORY 1 Name,QUESTION 3 Text,ANSWER 3 Text,0,ANSWER 3 FEEDBACK Text
QUIZ Name,CATEGORY 1 Name,QUESTION 4 Text,ANSWER 1 Text,1,No FEEDBACK Text
QUIZ Name,CATEGORY 1 Name,QUESTION 4 Text,ANSWER 2 Text,0.5,ANSWER 2 FEEDBACK Text
QUIZ Name,CATEGORY 1 Name,QUESTION 4 Text,ANSWER 3 Text,0,ANSWER 3 FEEDBACK Text